Episode,Episode-Reward,Total-Reward,ActionAVG,Q-Value,LinesCleared


0,38.25,38.25,1.38,0.00711,0

1,30.8,69.05,1.79,-0.155,0

2,65.85,134.9,1.7,0.50799,0

3,30.45,165.35,1.79,0.2253,0

4,57.95,223.3,2.31,0.62497,0

5,41.2,264.5,2.04,0.55784,0

6,38.35,302.85,1.44,0.44169,0

7,34.15,337.0,2.02,0.25717,0

8,66.25,403.25,2.07,0.83642,1

9,29.25,432.5,1.27,0.45284,0

10,39.8,472.3,1.13,0.39294,0

11,40.45,512.75,1.95,1.2971,0

12,44.45,557.2,2.22,2.08782,0

13,54.9,612.1,3.17,2.93576,0

14,49.4,661.5,1.88,3.46916,0

15,46.0,707.5,1.81,3.80604,1

16,40.35,747.85,2.64,3.94001,0

17,55.7,803.55,1.79,4.3892,0

18,47.05,850.6,1.43,4.5427,0

19,59.55,910.15,2.51,4.94292,0

20,36.95,947.1,2.04,4.74458,0

21,32.75,979.85,2.16,4.49637,0

22,56.35,1036.2,2.54,4.83501,0

23,38.2,1074.4,1.38,4.68908,0

24,54.7,1129.1,1.9,4.94723,0

25,44.45,1173.55,1.94,4.91668,0

26,57.0,1230.55,2.33,5.17537,0

27,43.6,1274.15,1.92,5.07436,0

28,33.5,1307.65,1.79,4.76882,0

29,63.3,1370.95,1.97,5.20254,0

30,42.1,1413.05,1.58,5.06166,0

31,49.9,1462.95,1.74,5.12798,0

32,45.5,1508.45,1.33,5.08038,0

33,32.25,32.25,1.71,0.70204,0

34,44.9,77.15,2.11,1.53074,0

35,47.15,124.3,2.37,2.22362,0

36,57.4,181.7,1.98,2.99122,0

37,42.35,224.05,1.7,3.24748,0

38,23.3,247.35,2.39,3.01746,0

39,49.05,296.4,2.18,3.41857,0

40,48.55,344.95,1.91,3.71818,0

41,60.6,405.55,1.72,4.22151,0

42,67.9,473.45,1.77,4.77583,0

43,34.4,507.85,1.64,4.45168,0

44,38.45,546.3,1.61,4.29159,0

45,44.75,591.05,1.6,4.30927,0

46,22.75,613.8,1.42,3.82798,0

47,66.95,680.75,2.83,4.44947,0

48,47.7,728.45,1.68,4.498,0

49,38.1,766.55,1.45,4.31962,0

50,31.55,798.1,1.45,4.03399,0

51,47.2,845.3,2.1,4.16476,0

52,39.35,884.65,2.59,4.08948,0

53,51.35,936.0,1.91,4.30113,0

54,53.4,989.4,1.45,4.51129,0

55,41.45,1030.85,1.82,4.40529,0

56,19.65,1050.5,2.16,3.83264,0

57,60.8,1111.3,2.35,4.31471,0

58,32.65,1143.95,1.19,4.05494,0

59,38.95,1182.9,1.59,3.99537,0

60,16.9,1199.8,1.89,3.45307,0

61,45.3,1245.1,1.9,3.6718,0

62,63.2,1308.3,2.58,4.24406,0

63,37.8,1346.1,1.64,4.11606,0

64,43.65,1389.75,2.11,4.14848,0

65,40.15,1429.9,1.44,4.09486,0

66,24.1,1454.0,2.75,3.69218,0

67,48.3,1502.3,2.54,3.92461,0

68,36.95,1539.25,2.06,3.84936,0

69,42.75,1582.0,2.56,3.92154,0

